,User,Original Tweet
147,honekothecat,"RT @meduzaproject: ДАННОЕ СООБЩЕНИЕ (МАТЕРИАЛ) СОЗДАНО И (ИЛИ) РАСПРОСТРАНЕНО ИНОСТРАННЫМ СРЕДСТВОМ МАССОВОЙ ИНФОРМАЦИИ, ВЫПОЛНЯЮЩИМ ФУНКЦИ…"
148,Andy_Dufr,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
149,V_V_Sektor,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
150,Shibix5,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
151,crimea_john,"@Vitya_Ukraine @Wintercrim бля ,   и что ? 
 он что преднамеренно по вашему решил дискредитировать Украину и как ?
или это  Украина пульнула этой ракетой ? 

херотень лютейшая.."
152,VladV0000,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
153,Ms_Misty_Blue,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
154,gulya_sayko,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
155,GRomanmal51,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
156,maevitch,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
157,Anmax19675717,"@OhVey_ru @bocharik @ICCT_TheHague @Ukraine Григорий Потемкин, русский Князь Таврический, основал город Екатеринослав. И где здесь слово днiпр? А так же основал Херсон, Николаев, Севастополь, Одессу, ну это вам для расширения кругозора. Спасибо"
158,UkraineVSterror,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
159,t87866140,"RT @Dialog_UA: ""Народ, я просто устал"", - Арестович сделал новое заявление после скандала с ракетой россиян по Днепру   https://t.co/ognFbw…"
160,gagadget,"Даже если решение будет принято в ближайшие дни / Немецкий концерн Rheinmetall, собирающий Leopard, заявил, что сможет передать Украине танки не раньше 2024 года https://t.co/mDEZADrF6e"
161,hutir1,"RT @War2022ua: Оккупанты заняли промзону у рудника №7 в Соледаре, которую ранее удерживали ВСУ, - Мадяр о ситуации в Соледаре
#ukrainecount…"
162,Spasen1994,"RT @War2022ua: Враг увеличил корабельную группировку в Черном море до 16 единиц, среди которых 6 ракетоносителей, при чем 1 - подводный
#uk…"
163,Ukraine_Twi,"Судя по сообщениям, которые приходят от бойцов ВСУ, русские захватили Соледар. Ждём официальной информации от Генштаба ВСУ https://t.co/RvWLtheor6"
164,TaskinKS,"@MinerTorpedisd @AzarovNikolay_ @prof_preobr @novosyolov @q_guberman @A_Ra_Berlin @Mikhail_Bakh @dedzaebal @Nevzlin @ValBodin @NashaCanada @kazalosbyk @taygainfo @kmartynov @alkachka1 @lasareff @XXL_Wasjuk @gudkov_g @mixvoronezh @Shulz ""...Очевидно восприятие России как нового вида фашизма, как нового зла, с которым примириться никак невозможно"". https://t.co/8XaO1WfnWd https://t.co/f4C0YS2QS8"
165,PSprucinski,RT @MaitanovAzamat: 🇰🇿Мадина родом из Казахстана на собственные средства создала производство бронежилетов в Украине и раздает их бесплатно…
166,2ORvI1gXYqHjhgY,"RT @PowerNaShary: Эта война разделила мир на людей и такое. После начала войны 24 февраля Мадина, которая родом из Казахстана, бросила рабо…"
